"data","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t19","t20","t21","t22","t23","t24","t25","year","paper_key","volume","issue","autori"
"journal-article-10.2307_23596435","0.07541014","0","0","0","0","0","0.057754997","0","0.72073853","0.06352526","0.028326152","0","0","0","0","0","0","0.05401903","0","0","0","0","0","0","0","1979","Cripps on wages and the quantity theory— a monetarist reply","3","2","Horsman&"
"journal-article-10.2307_23596436","0","0","0","0","0","0","0","0","0.77438116","0","0","0.13946044","0","0","0","0","0","0","0","0","0","0","0","0","0.08493464","1979","Wages and unemployment— a non-monetarist rejoinder","3","2","Cripps&"
"journal-article-10.2307_23596437","0","0","0","0","0","0","0.35134372","0","0.6462857","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1979","Garegnani on effective demand","3","2","Robinson&"
"journal-article-10.2307_23596438","0","0","0.019979877","0","0","0","0.40768757","0","0.40739614","0","0","0.057459556","0","0","0","0","0","0","0","0","0","0","0","0","0.107157424","1979","Notes on consumption, investment and effective demand: a reply to Joan Robinson","3","2","Garegnani&"
"journal-article-10.2307_23596439","0","0","0","0.13797452","0","0.17994162","0","0","0","0","0","0","0","0","0.18899927","0","0","0","0","0","0.4929218","0","0","0","0","1979","The crisis of the capitalist world: a Marxist view","3","2","Kawakami&"
"journal-article-10.2307_23596443","0","0","0","0","0","0","0.80485517","0.041885305","0.0193611","0","0","0","0","0","0.05528539","0","0","0","0","0","0","0","0","0","0.07850938","1978","The subversion of classical analysis: Alfred Marshall's early writing on value","2","3","Bharadwaj&"
"journal-article-10.2307_23596444","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.25313076","0.45089817","0","0","0","0.050684087","0.052827783","0","0","0.18437207","0","1978","Labour accumulation in rural China and its role since the cultural revolution","2","3","Nickum&"
"journal-article-10.2307_23596445","0","0","0.3186747","0","0","0","0","0","0","0.2317395","0","0","0","0.03755138","0.12464644","0","0","0","0","0.03801015","0.17509393","0","0","0.073902205","0","1978","Military expenditure and capitalism: a comment","2","3","Hartley&McLean&"
"journal-article-10.2307_23596446","0","0","0.4229382","0","0","0.20322517","0","0","0","0.15094998","0","0","0","0","0.118559875","0","0","0","0","0","0","0","0","0.103890784","0","1978","Military spending and capitalist stability","2","3","Chester&"
"journal-article-10.2307_23596447","0","0","0.44951394","0","0","0.076508865","0","0","0","0.33897895","0","0","0","0","0.038878705","0","0","0","0","0","0.058214717","0","0","0.037499696","0","1978","Military expenditure and capitalism: a reply","2","3","Smith&"
"journal-article-10.2307_23596448","0","0","0","0","0","0","0.1581829","0","0","0","0","0.14521895","0","0","0","0","0","0","0","0","0","0","0.69588506","0","0","1978","S. Bowles and H. Gintis on the Marxian theory of value and heterogeneous labour","2","3","Morishima&"
"journal-article-10.2307_23596449","0.017473247","0","0","0","0","0","0.33700716","0","0","0","0.05862306","0.08552247","0","0","0","0","0","0","0","0","0","0","0.50074786","0","0","1978","Professor Morishima on heterogeneous labour and Marxian value theory","2","3","Bowles&Gintis&"
"journal-article-10.2307_23596450","0.0330954","0","0","0","0","0","0.12285218","0","0.73904765","0","0","0.0973853","0","0","0","0","0","0","0","0","0","0","0","0","0","1978","In review of Keynes","2","3","Wells&"
"journal-article-10.2307_23596451","0","0","0","0","0","0.7586238","0","0","0.22361723","0","0","0.017450595","0","0","0","0","0","0","0","0","0","0","0","0","0","1978","Control of imports as a means to full employment and the expansion of world trade: the UK's case","2","3","Cripps&Godley&"
"journal-article-10.2307_23596455","0","0","0","0","0","0","0","0","0","0","0","0.053203855","0.09837746","0","0","0","0","0","0","0","0","0","0","0","0.8471838","1977","Maurice Dobb","1","1","Eatwell&"
"journal-article-10.2307_23596456","0.04952272","0","0","0","0","0.09268716","0","0","0.28929296","0.047436167","0","0","0","0","0.07095339","0","0","0","0","0","0.40367612","0","0","0","0.04214415","1977","What has become of employment policy?","1","1","Robinson&Wilkinson&"
"journal-article-10.2307_23596457","0.044213597","0","0","0","0","0","0.10656155","0","0","0","0.08590627","0","0","0","0.5436882","0.21033229","0","0","0","0","0","0","0","0","0","1977","Domestic labour and capital","1","1","Himmelweit&Mohun&"
"journal-article-10.2307_23596458","0","0","0","0.032805175","0","0.19006361","0.07231812","0","0","0","0.0591496","0","0","0","0","0.61013335","0","0","0","0","0","0","0.019276448","0.016170936","0","1977","Starvation and exchange entitlements: a general approach and its application to the great Bengal famine","1","1","Sen&"
"journal-article-10.2307_23596459","0","0","0.2757276","0","0","0.038456965","0","0","0","0.12960185","0","0","0","0","0.24597433","0","0","0","0","0","0.24060515","0","0","0.06950539","0","1977","Military expenditure and capitalism","1","1","Smith&"
"journal-article-10.2307_23596460","0","0","0","0","0","0","0.025576781","0","0","0","0.01425619","0","0.12065137","0.014923764","0","0.029722353","0","0","0","0","0.7489087","0","0.04584758","0","0","1977","Society and politics at the beginning of the world economy","1","1","Jones&"
"journal-article-10.2307_23596461","0","0","0","0","0.022983244","0","0","0","0","0","0","0.14871794","0.08410343","0","0.71671945","0","0","0","0","0.02710367","0","0","0","0","0","1977","Notes on technical progress and capitalist society","1","1","Okishio&"
"journal-article-10.2307_23596462","0.14464156","0","0","0","0","0","0","0","0.6535797","0.17779985","0","0","0","0","0","0","0","0","0","0","0.02379393","0","0","0","0","1977","The money supply, wages and inflation","1","1","Cripps&"
"journal-article-10.2307_23596466","0","0","0","0","0","0","0.3888981","0","0.27491003","0","0","0.2665508","0","0","0.06953597","0","0","0","0","0","0","0","0","0","0","1978","Notes on consumption, investment and effective demand: I","2","4","Garegnani&"
"journal-article-10.2307_23596467","0.089453064","0","0","0","0.21049482","0.459559","0","0","0.16900034","0","0","0","0","0","0","0","0","0","0","0.037719034","0","0.029271951","0","0","0","1978","The Mezzogiorno in the Italian economy","2","4","Graziani&"
"journal-article-10.2307_23596468","0.19485427","0","0.14103927","0.18542376","0.30121368","0","0","0","0","0","0","0","0","0","0.09556549","0","0.08161597","0","0","0","0","0","0","0","0","1978","Labour as risk-bearer","2","4","Jonsson&"
"journal-article-10.2307_23596469","0","0","0","0","0","0.1571013","0","0","0","0","0","0","0.065981716","0","0.048309203","0.10445879","0","0","0","0","0.2041317","0","0.3320216","0.07898079","0","1978","Organisation of agriculture for rural development: the Indian case","2","4","Rudra&"
"journal-article-10.2307_23596470","0.29138383","0","0","0","0","0","0","0.021742906","0.09542935","0","0","0.4366955","0","0","0","0","0","0","0","0","0","0","0","0","0.144173","1978","Kahn on Malinvaud","2","4","Rothschild&"
"journal-article-10.2307_23596471","0.14126734","0","0","0.21766107","0","0.14040661","0","0","0.15581886","0","0","0","0","0","0.34468365","0","0","0","0","0","0","0","0","0","0","1978","The economic crisis of the Weimar Republic and how it was overcome—a comparison with the present recession","2","4","Rüstow&"
"journal-article-10.2307_23596475","0","0","0.4872316","0","0","0","0","0","0","0.0708814","0","0","0","0","0.16213319","0","0","0","0","0","0.21509962","0","0","0.06449104","0","1982","The political economy of military spending: evidence from the United States","6","1","Griffin&Wallace&Devine&"
"journal-article-10.2307_23596476","0.14372702","0","0","0","0","0.031241367","0","0","0","0","0","0.021249553","0","0","0.098819636","0.17746772","0.19327882","0","0","0","0.3341107","0","0","0","0","1982","Capital accumulation and the division of labour in the Soviet Union","6","1","Garnsey&"
"journal-article-10.2307_23596477","0.020076545","0.55789757","0","0.02111403","0.09135225","0.13571365","0","0","0","0","0","0","0","0","0.09005623","0","0.08364493","0","0","0","0","0","0","0","0","1982","Imperfect international markets and monopolistic prices to developing countries: a case study","6","1","Epstein&Newfarmer&"
"journal-article-10.2307_23596478","0","0","0","0.11049573","0","0.08759266","0","0","0","0","0","0","0","0.16483243","0.19327258","0.05066103","0.105576724","0","0","0.11168661","0.16582826","0","0","0","0","1982","The political economy of socially irrational products","6","1","Best&"
"journal-article-10.2307_23596479","0","0","0","0","0","0","0.9676401","0","0","0","0","0","0","0","0.032193143","0","0","0","0","0","0","0","0","0","0","1982","On Hollander's interpretation of Ricardo's early theory of profits","6","1","Garegnani&"
"journal-article-10.2307_23596480","0","0","0","0","0","0.36763084","0.051461466","0","0","0.21535899","0","0","0","0","0.08599967","0.027719876","0","0","0","0","0","0.15712419","0","0","0.094257265","1982","Limitations of the law of one price","6","1","Reddaway&"
"journal-article-10.2307_23596481","0","0","0","0","0","0","0","0.09893089","0","0","0","0","0","0","0","0","0","0","0","0","0.5931932","0","0","0","0.30155483","1982","Foreword by the Editors","6","1",""
"journal-article-10.2307_23596482","0.07807081","0","0","0.11999039","0","0.29665574","0","0","0.31258598","0","0","0","0","0","0.19258161","0","0","0","0","0","0","0","0","0","0","1982","An alternative economic strategy—a message of hope","6","1","Hopkin&Miller&Reddaway&"
"journal-article-10.2307_23596486","0","0","0","0.16411759","0","0.12542202","0","0","0.6402648","0.04588351","0","0","0","0","0.01741473","0","0","0","0","0","0","0","0","0","0","1980","Monetarism and UK monetary policy","4","4","Kaldor&"
"journal-article-10.2307_23596487","0.017451435","0","0","0.050497513","0","0.19102347","0","0","0.6945162","0","0","0","0","0","0.01514223","0.024854492","0","0","0","0","0","0","0","0","0","1980","The economic consequences of monetarism: a Keynesian view of the British economy 1980—90","4","4","Barker&"
"journal-article-10.2307_23596488","0.18034235","0","0.016271465","0","0","0","0","0","0","0.37686756","0.010226188","0.054394882","0","0","0.1103059","0","0.24103399","0.010395153","0","0","0","0","0","0","0","1980","Labour relations and demand relations: a case study of the 'unemployment effect'","4","4","Oster&"
"journal-article-10.2307_23596489","0","0","0.4557693","0","0.4723595","0","0","0","0","0.02018077","0","0","0","0","0","0","0.051486794","0","0","0","0","0","0","0","0","1980","Company objectives, managerial motivations and the behaviour of large firms: an empirical test of the theory of 'managerial' capitalism","4","4","Francis&"
"journal-article-10.2307_23596490","0","0","0","0","0","0","0.21016961","0","0.06025912","0","0","0","0","0","0.5328022","0","0","0","0.04178011","0","0","0","0.15484823","0","0","1980","Marx's analysis of the relationship between the rate of interest and the rate of profits","4","4","Panico&"
"journal-article-10.2307_23596491","0.09358874","0","0","0","0","0","0","0","0.06175091","0","0","0","0","0","0.63328356","0","0","0","0","0","0.21122593","0","0","0","0","1980","State Expenditure and Capital","4","4","Harrison&"
"journal-article-10.2307_23596492","0","0","0","0","0","0","0.024683934","0","0","0.048873752","0","0.7515554","0","0","0","0","0","0","0","0","0","0.17455289","0","0","0","1980","Dobb and the Marx-Fel'dman Model","4","4","Chng&"
"journal-article-10.2307_23596495","0.02216991","0","0","0","0","0","0.11158274","0","0","0.047534455","0.030586122","0","0","0.09399107","0.11950972","0","0.3942574","0","0","0","0.067167915","0","0","0","0.11309349","1982","Theoretical and policy implications of variable productivity","6","3","Hodgson&"
"journal-article-10.2307_23596496","0.09984557","0","0.12820897","0","0","0","0.030131446","0","0.06809973","0.2649923","0.056325987","0.15419266","0","0","0","0.060842797","0.0744692","0.062257953","0","0","0","0","0","0","0","1982","Changes in the inter-industry structure of wages: some theoretical positions","6","3","Lawson&Tarling&Wilkinson&"
"journal-article-10.2307_23596497","0","0","0","0","0","0.014799468","0","0","0.015057811","0.37148526","0","0","0","0","0","0.54251695","0","0","0","0.05596514","0","0","0","0","0","1982","Changes in the inter-industry structure of earnings in the post-war period","6","3","Tarling&Wilkinson&"
"journal-article-10.2307_23596498","0","0","0","0","0","0.018817471","0","0","0","0.3520031","0","0","0","0","0","0.16199113","0","0.057836547","0","0.20911486","0","0","0","0.20005694","0","1982","On the stability of the inter-industry structure of earnings in the UK: 1954—1978","6","3","Lawson&"
"journal-article-10.2307_23596499","0.30885285","0","0","0","0.031621706","0","0","0.43444267","0.021176314","0","0","0","0","0","0.013973122","0","0","0","0","0","0.18981828","0","0","0","0","1982","Occupational pension schemes and British capitalism","6","3","Green&"
"journal-article-10.2307_23596500","0.024834583","0","0","0","0","0","0.076699935","0","0.7534571","0","0.011145744","0","0","0","0.09440558","0","0","0","0","0","0.032694645","0","0","0","0","1982","Questioning monetarism","6","3","de Brunhoff&"
"journal-article-10.2307_23596501","0","0","0","0","0","0","0.08984257","0","0.63373816","0","0","0","0","0","0","0","0.036432974","0","0","0","0","0","0","0","0.2386742","1982","Shedding darkness","6","3","Robinson&"
"journal-article-10.2307_23596502","0.062444095","0","0","0","0","0","0","0","0","0","0","0","0.026341554","0","0","0","0.07584095","0","0","0","0.83527166","0","0","0","0","1982","Free market economics, trade union law and the labour market","6","3","Moore&"
"journal-article-10.2307_23596507","0.037890956","0","0","0","0","0.87312096","0","0","0","0.030254504","0","0.03510596","0","0","0","0","0","0","0.023539757","0","0","0","0","0","0","1980","International integration and the balance of payments constraint: the case of Italy","4","1","De Vivo&Pivetti&"
"journal-article-10.2307_23596508","0","0","0","0","0","0","0.4294442","0","0.1433658","0","0","0","0","0","0.40237433","0","0","0","0","0","0","0","0","0","0.024663577","1980","Marx, Keynes and the possibility of crisis","4","1","Kenway&"
"journal-article-10.2307_23596509","0.25467074","0","0","0","0","0.3622162","0.010628617","0","0","0.0747302","0","0","0","0","0.13519846","0","0","0","0","0","0.16248158","0","0","0","0","1980","Labour markets and wage growth: the case of Argentina","4","1","Marshall&"
"journal-article-10.2307_23596510","0","0","0","0","0","0","0.09662421","0","0","0","0","0.9024558","0","0","0","0","0","0","0","0","0","0","0","0","0","1980","A note on the 'choice of technique' under capitalism","4","1","Steedman&"
"journal-article-10.2307_23596511","0","0","0","0","0","0","0","0","0","0","0","0.8093469","0","0","0.17831181","0","0","0","0","0","0","0","0.011615462","0","0","1980","The law of falling rate of profit and the competitive battle: comment on Shaikh","4","1","Nakatani&"
"journal-article-10.2307_23596512","0","0","0","0","0","0","0","0","0.13818568","0","0","0.5249255","0","0","0.24425936","0","0","0","0","0","0","0","0.09094477","0","0","1980","The law of the falling rate of profit and oligopoly: a comment on Shaikh","4","1","Armstrong&Glyn&"
"journal-article-10.2307_23596513","0","0","0","0","0","0","0","0","0","0","0","0.5388865","0","0","0.46017507","0","0","0","0","0","0","0","0","0","0","1980","Maurice Dobb's theory of crisis: a comment","4","1","Bleaney&"
"journal-article-10.2307_23596514","0","0","0","0","0","0","0.07611759","0","0","0","0.07390814","0.55469334","0","0","0.2756013","0","0","0","0","0","0","0","0.019452749","0","0","1980","Marxian competition versus perfect competition: further comments on the so-called choice of technique","4","1","Shaikh&"
"journal-article-10.2307_23596515","0.028620392","0","0","0","0","0.13760965","0","0","0","0.037301745","0","0","0","0","0","0","0.30997458","0","0","0.08517975","0.40120932","0","0","0","0","1980","On the nature of industrial decline in the UK","4","1","Kilpatrick&Lawson&"
"journal-article-10.2307_23596518","0.10279755","0","0","0","0","0","0.09130418","0","0","0","0.03284247","0","0","0.10553873","0.26266408","0.4047196","0","0","0","0","0","0","0","0","0","1982","Exploitation comes home: a critique of the Marxian theory of family labour","6","4","Folbre&"
"journal-article-10.2307_23596519","0.22193296","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.034323752","0.7436394","0","0","0","0","0","0","0","0","1982","Labour market segmentation and workers' careers: the case of the Italian knitwear industry","6","4","Solinas&"
"journal-article-10.2307_23596520","0","0","0","0","0","0","0.50078064","0","0","0","0","0.47560737","0","0.023470532","0","0","0","0","0","0","0","0","0","0","0","1982","The neo-Ricardians","6","4","Hahn&"
"journal-article-10.2307_23596521","0.44507325","0","0","0","0","0.21429776","0","0","0.03645631","0.025013877","0","0","0","0","0","0","0","0","0","0.17406249","0.04313277","0.061838157","0","0","0","1982","Job loss and the regional incidence of redundancies in the current recession","6","4","Martin&"
"journal-article-10.2307_23596522","0","0","0","0","0","0","0.98280597","0","0","0","0","0","0","0","0.016394513","0","0","0","0","0","0","0","0","0","0","1982","Further evidence for Sraffa's interpretation of Ricardo","6","4","Langer&"
"journal-article-10.2307_23596526","0","0","0","0","0","0","0","0","0.19298239","0","0.13667634","0","0","0.22010784","0","0","0","0.34104887","0","0","0","0","0","0","0.10898724","1983","The rational-expectations hypothesis and the epistemics of time","7","1","Bausor&"
"journal-article-10.2307_23596527","0","0","0","0","0","0","0.8392861","0","0","0","0","0","0","0","0.16063543","0","0","0","0","0","0","0","0","0","0","1983","On a controversy over Ricardo's theory of distribution","7","1","Bharadwaj&"
