chiave,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,year,title,volume,issue,autori
journal-article-10.2307_23596417,0,0,0,0,0,0.5019245,0,0,0, 0.49788845,1979,EEC membership and UK trade in manufactures,3,4,Fetherston&Moore&Rhodes&
journal-article-10.2307_23596420,0,0.23137526,0.4827568,0,0,0,0.28576425,0,0,0,1980,"Accumulation and exploitation: an analysis in the tradition of Marx, Sraffa and Kalecki",4,2,Bhaduri&Robinson&
journal-article-10.2307_23596421,0.9837575,0,0.01615332,0,0,0,0,0,0,0,1980,Segmentation in the US labour market: its effects on the mobility and earnings of whites and blacks,4,2,Rumberger&Carnoy&
journal-article-10.2307_23596422,0,0,0,0,0.34688213,0.65302676,0,0,0,0,1980,Government control over technology acquisition and firms' entry into new sectors: the experience of Japan's synthetic-fibre industry,4,2,Ozawa&
journal-article-10.2307_23596423,0.048206434,0,0.10297874,0.48345876,0.17809942,0.14267159,0.025032036,0,0.019507034,0,1980,The dilemmas of a socialist economy: the Hungarian experience,4,2,Kornai&
journal-article-10.2307_23596424,0,0.3000472,0,0.29460108,0,0,0.016733382,0,0.3885064,0,1980,Interest rates in backward agriculture,4,2,Rao&
journal-article-10.2307_23596425,0,0.7811772,0,0,0,0,0,0,0.21839869,0,1980,The formation of usurious interest rates,4,2,Ghose&
journal-article-10.2307_23596426,0.052643295,0,0,0.55643755,0,0,0,0,0.39012915,0,1980,A reply to Rao and Ghose,4,2,Bhaduri&
journal-article-10.2307_23596427,0.119239755,0,0,0,0,0,0.70434326,0.14084978,0.034865677,0,1980,The General Theory for a totalitarian state? a note on Keynes's preface to the German edition of 1936,4,2,Schefold&
journal-article-10.2307_23596428,0,0,0,0,0,0.6322317,0,0,0.07358632, 0.29411975,1980,The Mexican economy: recent development and future prospects,4,2,
journal-article-10.2307_23596431,0.1998637,0.13357317,0.041357763,0,0,0.05629829,0.08795349,0,0.10685903, 0.3740617,1979,Wage formation in historical perspective: the French experience,3,2,Boyer&
journal-article-10.2307_23596432,0,0.18583435,0.031564247,0,0,0.6476008,0.047916114,0,0, 0.08700884,1979,Primary accumulation in the USSR revisited,3,2,Vyas&
journal-article-10.2307_23596433,0.48151132,0.11561487,0.07516577,0,0.17767078,0.03376093,0.08930894,0,0.02694474,0,1979,"The industrial reserve army, segmentation and the Italian labour market",3,2,Bruno&
journal-article-10.2307_23596434,0,0,0.054389693,0,0.027454982,0,0.26286003,0,0.011628016, 0.643602,1979,Industrial pricing in the United Kingdom,3,2,Sylos-Labini&
journal-article-10.2307_23596435,0.06354293,0,0,0,0,0,0.19047762,0,0.61745274, 0.12841237,1979,Cripps on wages and the quantity theory— a monetarist reply,3,2,Horsman&
journal-article-10.2307_23596436,0,0,0,0,0,0,0.39426523,0,0.60502684,0,1979,Wages and unemployment— a non-monetarist rejoinder,3,2,Cripps&
journal-article-10.2307_23596437,0,0,0.35192326,0,0,0,0.3810204,0,0.26589212,0,1979,Garegnani on effective demand,3,2,Robinson&
journal-article-10.2307_23596438,0,0,0.28830323,0,0,0,0.5803665,0,0.13114938,0,1979,"Notes on consumption, investment and effective demand: a reply to Joan Robinson",3,2,Garegnani&
journal-article-10.2307_23596439,0,0.15329802,0.019315647,0,0,0.70807964,0,0,0.1192279,0,1979,The crisis of the capitalist world: a Marxist view,3,2,Kawakami&
journal-article-10.2307_23596443,0,0,0,0,0,0,0.999924,0,0,0,1978,The subversion of classical analysis: Alfred Marshall's early writing on value,2,3,Bharadwaj&
journal-article-10.2307_23596444,0.13750994,0.46860158,0,0,0,0.39380106,0,0,0,0,1978,Labour accumulation in rural China and its role since the cultural revolution,2,3,Nickum&
journal-article-10.2307_23596445,0,0,0.55388284,0.10409623,0,0.08367225,0,0,0, 0.25813654,1978,Military expenditure and capitalism: a comment,2,3,Hartley&McLean&
journal-article-10.2307_23596446,0,0,0.5608717,0,0,0.18903875,0,0,0, 0.24984066,1978,Military spending and capitalist stability,2,3,Chester&
journal-article-10.2307_23596447,0,0,0.5256016,0,0,0.077628136,0,0,0, 0.39652446,1978,Military expenditure and capitalism: a reply,2,3,Smith&
journal-article-10.2307_23596448,0,0.26512185,0,0,0,0,0.7344553,0,0,0,1978,S. Bowles and H. Gintis on the Marxian theory of value and heterogeneous labour,2,3,Morishima&
journal-article-10.2307_23596449,0.050115347,0,0,0,0,0,0.9494777,0,0,0,1978,Professor Morishima on heterogeneous labour and Marxian value theory,2,3,Bowles&Gintis&
journal-article-10.2307_23596450,0.021051379,0,0.06425138,0,0,0,0.35287145,0,0.56172806,0,1978,In review of Keynes,2,3,Wells&
journal-article-10.2307_23596451,0,0,0,0.027627336,0,0.6729299,0,0,0.1696442, 0.12966469,1978,Control of imports as a means to full employment and the expansion of world trade: the UK's case,2,3,Cripps&Godley&
journal-article-10.2307_23596455,0,0,0.06124265,0,0,0.05155894,0.20067471,0.6859818,0,0,1977,Maurice Dobb,1,1,Eatwell&
journal-article-10.2307_23596456,0.12210834,0,0.2839489,0,0,0.36472237,0,0,0.22041543,0,1977,What has become of employment policy?,1,1,Robinson&Wilkinson&
journal-article-10.2307_23596457,0.32667488,0.066218935,0,0,0,0.01479318,0.511457,0.08080445,0,0,1977,Domestic labour and capital,1,1,Himmelweit&Mohun&
journal-article-10.2307_23596458,0.08608576,0,0,0,0,0.854425,0.05943794,0,0,0,1977,Starvation and exchange entitlements: a general approach and its application to the great Bengal famine,1,1,Sen&
journal-article-10.2307_23596459,0,0,0.66592926,0,0,0.20720819,0,0,0, 0.12678443,1977,Military expenditure and capitalism,1,1,Smith&
journal-article-10.2307_23596460,0.057542887,0,0,0,0.011712057,0.5226707,0,0.40801322,0,0,1977,Society and politics at the beginning of the world economy,1,1,Jones&
journal-article-10.2307_23596461,0,0.44573042,0.25042656,0,0,0,0.2786699,0.024982778,0,0,1977,Notes on technical progress and capitalist society,1,1,Okishio&
journal-article-10.2307_23596462,0.16058362,0,0,0,0,0,0.02169736,0,0.5748307, 0.24280348,1977,"The money supply, wages and inflation",1,1,Cripps&
journal-article-10.2307_23596466,0,0,0.3692814,0,0,0,0.6247071,0,0,0,1978,"Notes on consumption, investment and effective demand: I",2,4,Garegnani&
journal-article-10.2307_23596467,0.08755693,0,0,0,0.1607453,0.65745866,0,0,0.02377351, 0.07042146,1978,The Mezzogiorno in the Italian economy,2,4,Graziani&
journal-article-10.2307_23596468,0.26167178,0,0.12934317,0.044937786,0.36551124,0,0,0,0.19841045,0,1978,Labour as risk-bearer,2,4,Jonsson&
journal-article-10.2307_23596469,0.06305848,0.23741353,0,0,0,0.6360105,0,0.06347415,0,0,1978,Organisation of agriculture for rural development: the Indian case,2,4,Rudra&
journal-article-10.2307_23596470,0.28405166,0,0.71496147,0,0,0,0,0,0,0,1978,Kahn on Malinvaud,2,4,Rothschild&
journal-article-10.2307_23596471,0.12561646,0.10211754,0.16764794,0,0,0.26281863,0,0,0.34172782,0,1978,The economic crisis of the Weimar Republic and how it was overcome—a comparison with the present recession,2,4,Rüstow&
journal-article-10.2307_23596475,0,0,0.71733075,0,0.02355966,0.14477192,0,0,0, 0.11426175,1982,The political economy of military spending: evidence from the United States,6,1,Griffin&Wallace&Devine&
journal-article-10.2307_23596476,0.34550735,0.28776926,0,0,0.06727052,0.2993942,0,0,0,0,1982,Capital accumulation and the division of labour in the Soviet Union,6,1,Garnsey&
journal-article-10.2307_23596477,0.029716527,0.57895,0,0,0.17087197,0.2203814,0,0,0,0,1982,Imperfect international markets and monopolistic prices to developing countries: a case study,6,1,Epstein&Newfarmer&
journal-article-10.2307_23596478,0.017559504,0.09293243,0.10651252,0.1722914,0.21242934,0.37018353,0.011173007,0,0.016894119,0,1982,The political economy of socially irrational products,6,1,Best&
journal-article-10.2307_23596479,0,0,0,0,0,0,0.9998942,0,0,0,1982,On Hollander's interpretation of Ricardo's early theory of profits,6,1,Garegnani&
journal-article-10.2307_23596480,0,0.056067966,0,0,0,0.37045836,0.17158084,0,0, 0.40164438,1982,Limitations of the law of one price,6,1,Reddaway&
journal-article-10.2307_23596481,0,0,0,0,0,0.6225702,0,0.37372717,0,0,1982,Foreword by the Editors,6,1,
journal-article-10.2307_23596482,0.043948513,0,0.112809405,0,0,0.3327001,0,0,0.43112537, 0.07936867,1982,An alternative economic strategy—a message of hope,6,1,Hopkin&Miller&Reddaway&
journal-article-10.2307_23596486,0,0,0,0,0,0.09825671,0,0,0.8438909, 0.05147305,1980,Monetarism and UK monetary policy,4,4,Kaldor&
journal-article-10.2307_23596487,0,0,0.05896209,0,0,0.10846919,0,0,0.7895566, 0.042936467,1980,The economic consequences of monetarism: a Keynesian view of the British economy 1980—90,4,4,Barker&
journal-article-10.2307_23596488,0.29924092,0.16424155,0.027145103,0,0.018559426,0,0,0.024949556,0, 0.4657967,1980,Labour relations and demand relations: a case study of the 'unemployment effect',4,4,Oster&
journal-article-10.2307_23596489,0.030185143,0,0.20509039,0.11339489,0.55699253,0,0,0,0, 0.09425659,1980,"Company objectives, managerial motivations and the behaviour of large firms: an empirical test of the theory of 'managerial' capitalism",4,4,Francis&
journal-article-10.2307_23596490,0,0.075990446,0,0,0,0,0.67439204,0,0.24953724,0,1980,Marx's analysis of the relationship between the rate of interest and the rate of profits,4,4,Panico&
journal-article-10.2307_23596491,0.19619982,0.033032887,0.42792907,0,0,0.1004572,0.17072146,0,0.071610205,0,1980,State Expenditure and Capital,4,4,Harrison&
journal-article-10.2307_23596492,0,0.6220831,0.03516429,0,0,0,0.10868739,0,0, 0.23390734,1980,Dobb and the Marx-Fel'dman Model,4,4,Chng&
journal-article-10.2307_23596495,0.08859485,0.064762324,0,0.060958806,0.36255813,0,0.30630907,0.07281934,0, 0.043960564,1982,Theoretical and policy implications of variable productivity,6,3,Hodgson&
journal-article-10.2307_23596496,0.2834065,0,0.18103002,0,0,0,0.14326704,0.039217774,0, 0.35271692,1982,Changes in the inter-industry structure of wages: some theoretical positions,6,3,Lawson&Tarling&Wilkinson&
journal-article-10.2307_23596497,0.37633175,0,0,0,0,0.06724799,0,0,0, 0.55034727,1982,Changes in the inter-industry structure of earnings in the post-war period,6,3,Tarling&Wilkinson&
journal-article-10.2307_23596498,0.1597534,0.054438107,0,0,0,0.13049825,0,0.027697237,0, 0.62753373,1982,On the stability of the inter-industry structure of earnings in the UK: 1954—1978,6,3,Lawson&
journal-article-10.2307_23596499,0.6750987,0,0.13661937,0.032014992,0.05751168,0.039907355,0,0,0.058808405,0,1982,Occupational pension schemes and British capitalism,6,3,Green&
journal-article-10.2307_23596500,0.026947407,0,0,0,0,0,0.23970105,0,0.7332324,0,1982,Questioning monetarism,6,3,de Brunhoff&
journal-article-10.2307_23596501,0,0,0.18072972,0.09591377,0,0,0.28077453,0,0.44195542,0,1982,Shedding darkness,6,3,Robinson&
journal-article-10.2307_23596502,0.3570734,0,0,0.09119125,0.15032063,0.31475776,0,0.086617716,0,0,1982,"Free market economics, trade union law and the labour market",6,3,Moore&
journal-article-10.2307_23596507,0,0.086331084,0,0,0,0.6803395,0,0,0.016633706, 0.2166538,1980,International integration and the balance of payments constraint: the case of Italy,4,1,De Vivo&Pivetti&
journal-article-10.2307_23596508,0,0,0.08513696,0,0,0,0.8219428,0,0.09283599,0,1980,"Marx, Keynes and the possibility of crisis",4,1,Kenway&
journal-article-10.2307_23596509,0.3102232,0.056695152,0,0,0,0.39230207,0.043632716,0,0, 0.19711345,1980,Labour markets and wage growth: the case of Argentina,4,1,Marshall&
journal-article-10.2307_23596510,0,0.5960166,0,0,0,0,0.40346196,0,0,0,1980,A note on the 'choice of technique' under capitalism,4,1,Steedman&
journal-article-10.2307_23596511,0,0.7252556,0.21881248,0,0,0,0.055546388,0,0,0,1980,The law of falling rate of profit and the competitive battle: comment on Shaikh,4,1,Nakatani&
journal-article-10.2307_23596512,0,0.2516964,0.68745923,0,0,0,0,0,0.05988807,0,1980,The law of the falling rate of profit and oligopoly: a comment on Shaikh,4,1,Armstrong&Glyn&
journal-article-10.2307_23596513,0,0.46830222,0.3246455,0,0,0,0.20657301,0,0,0,1980,Maurice Dobb's theory of crisis: a comment,4,1,Bleaney&
journal-article-10.2307_23596514,0,0.21099828,0.3353478,0,0,0,0.453519,0,0,0,1980,Marxian competition versus perfect competition: further comments on the so-called choice of technique,4,1,Shaikh&
journal-article-10.2307_23596515,0.19402424,0.07794153,0,0,0.32135862,0.391098,0,0,0,0,1980,On the nature of industrial decline in the UK,4,1,Kilpatrick&Lawson&
journal-article-10.2307_23596518,0.57282853,0.031400573,0,0,0,0,0.3564517,0.0328488,0,0,1982,Exploitation comes home: a critique of the Marxian theory of family labour,6,4,Folbre&
journal-article-10.2307_23596519,0.4341213,0.08630208,0,0,0.47952253,0,0,0,0,0,1982,Labour market segmentation and workers' careers: the case of the Italian knitwear industry,6,4,Solinas&
journal-article-10.2307_23596520,0,0.031130774,0.02632505,0,0,0,0.9424687,0,0,0,1982,The neo-Ricardians,6,4,Hahn&
journal-article-10.2307_23596521,0.5226129,0,0,0,0.01869313,0.25543827,0,0,0, 0.20319024,1982,Job loss and the regional incidence of redundancies in the current recession,6,4,Martin&
journal-article-10.2307_23596522,0,0,0,0,0,0.015835596,0.9837204,0,0,0,1982,Further evidence for Sraffa's interpretation of Ricardo,6,4,Langer&
journal-article-10.2307_23596526,0,0,0,0.7040387,0,0,0.18385531,0,0.06417011, 0.04784198,1983,The rational-expectations hypothesis and the epistemics of time,7,1,Bausor&
journal-article-10.2307_23596527,0,0,0,0,0,0,0.9906117,0,0,0,1983,On a controversy over Ricardo's theory of distribution,7,1,Bharadwaj&
journal-article-10.2307_23596528,0,0,0,0,0,0,0.036688168,0,0, 0.96317816,1983,Tests for a threshold effect in the price—cost relationship,7,1,Bird&
journal-article-10.2307_23596529,0,0,0,0.021399988,0,0,0.714906,0.048339207,0.21528186,0,1983,Some strengths in Marx's disequilibrium theory of money,7,1,Lavoie&
journal-article-10.2307_23596530,0,0,0,0.61341226,0,0,0,0.18894397,0, 0.19744447,1983,On Keynesian model building and the rational expectations critique: a question of methodology,7,1,Hendry&
journal-article-10.2307_23596531,0,0,0,0.61088216,0,0,0,0.24710107,0, 0.14185455,1983,Different approaches to economic modelling,7,1,Lawson&
journal-article-10.2307_23596532,0.04315603,0,0,0,0,0.7519777,0,0,0.20478354,0,1983,"Government policies, European recession and problems of recovery",7,1,Cripps&Ward&
journal-article-10.2307_23596536,0,0.039149217,0,0,0,0.8861976,0,0,0.061515935, 0.013109149,1982,Economic reform and foreign trade in Yugoslavia,6,2,Flaherty&
journal-article-10.2307_23596537,0,0,0,0,0,0.6628817,0,0,0.26351637, 0.073543526,1982,The recent experience of stabilising and opening up the Argentinian economy,6,2,Beccaria&Carciofi&
journal-article-10.2307_23596538,0.18407269,0.18762629,0,0,0.51591533,0.112328395,0,0,0,0,1982,The Emilian model: productive decentralisation and social integration,6,2,Brusco&
journal-article-10.2307_23596539,0,0,0.41758573,0,0,0,0,0,0, 0.58225983,1982,The rate of profit over the business cycle,6,2,Hahnel&Sherman&
journal-article-10.2307_23596540,0,0,0.010178248,0,0,0.84524095,0,0.14450806,0,0,1982,The changing role of protection in the world economy,6,2,Willoughby&
journal-article-10.2307_23596543,0.030460013,0.06916559,0,0.34207672,0.061521057,0.24336535,0,0.24682075,0,0,1980,Against convergence,4,3,Ellman&
journal-article-10.2307_23596544,0,0.068983845,0,0,0,0.0467775,0.025266897,0,0, 0.8589139,1980,Pricing in the Mexican manufacturing sector,4,3,Ros&
journal-article-10.2307_23596545,0.119335204,0,0.19741172,0,0,0,0,0,0.0682531, 0.61491895,1980,"Bargaining power, search theory and the Phillips curve",4,3,Kahn&
journal-article-10.2307_23596546,0,0.050967913,0,0,0,0.74918485,0.016540455,0,0.106795855, 0.0764478,1980,Accounting for development,4,3,Phongpaichit&
journal-article-10.2307_23596547,0,0.5855202,0.41400447,0,0,0,0,0,0,0,1980,Worker-management and the choice of technique,4,3,Jarsulic&
journal-article-10.2307_23596548,0,0.028296662,0,0.17567806,0,0.054113653,0,0,0.6640776, 0.07758698,1980,High interest rates in backward agricultural communities: an examination of the 'default hypothesis',4,3,Borooah&
journal-article-10.2307_23596549,0,0,0,0,0,0.968906,0,0.031034736,0,0,1980,Economic development and revolutionary upheavals in Iran,4,3,Walton&
journal-article-10.2307_23596553,0,0,0,0.7487843,0,0,0,0.016275045,0.07590014, 0.158966,1981,Keynesian model building and the rational expectations critique,5,4,Lawson&
journal-article-10.2307_23596554,0.05638856,0.48744816,0.013398143,0.079409644,0,0.18864903,0,0,0.03724044, 0.13744529,1981,Market failure and control of labour power: towards an explanation of 'structure' and change in Indian agriculture. Part 2,5,4,Sen&
journal-article-10.2307_23596555,0.8307439,0.041569985,0,0,0.12760259,0,0,0,0,0,1981,Strategies of enterprises in the German labour market,5,4,Windolf&
journal-article-10.2307_23596556,0.036677755,0.2800549,0.19631651,0,0,0,0.39326212,0,0.09361399,0,1981,On the timing of wage payments,5,4,Harris&
journal-article-10.2307_23596557,0,0,0,0.0825736,0,0.09759692,0,0.7423344,0, 0.07719167,1981,Against 'Against convergence',5,4,Coats&Thompstone&
journal-article-10.2307_23596558,0,0,0,0.06743528,0,0.18720317,0,0.6619624,0, 0.08296059,1981,"Reply to 'Against ""Against convergence""'",5,4,Ellman&
journal-article-10.2307_23596559,0,0.07390076,0.09707129,0.25372323,0.05569873,0.44650266,0,0.055073846,0,0,1981,Socialism on Earth,5,4,Nuti&
journal-article-10.2307_23596562,0,0,0,0,0,0.5520502,0.011434371,0,0, 0.43646693,1977,UK industry and the world economy: a case of de-industrialisation?,1,2,Singh&
journal-article-10.2307_23596563,0,0,0.10243507,0,0.2637926,0,0.63369685,0,0,0,1977,Competition and the evolution of the capitalist mode of production,1,2,Clifton&
journal-article-10.2307_23596564,0,0.15389594,0,0,0,0.21610488,0.088645175,0,0, 0.5412972,1977,International trade and economic growth: an alternative to the neoclassical approach,1,2,Barker&
journal-article-10.2307_23596565,0.18290392,0.34340388,0,0,0,0,0.47363195,0,0,0,1977,The Marxian theory of value and hetero-geneous labour: a critique and reformulation,1,2,Bowles&Gintis&
journal-article-10.2307_23596566,0,0.20351978,0,0,0,0.6798584,0.07714771,0,0, 0.03939417,1977,Capitalism and industrial development: some lessons from Britain's experience,1,2,Kaldor&
journal-article-10.2307_23596567,0,0,0,0,0,0.97379404,0,0,0.026042506,0,1977,A new international economic order?,1,2,Abdel-Fadil&Cripps&Wells&
journal-article-10.2307_23596570,0,0,0,0,0,0.7122453,0,0,0.22938968, 0.058319233,1983,"Economic liberalism in Chile, 1973—82: a model for growth and development or a recipe for stagnation and impoverishment?",7,2,Parkin&
journal-article-10.2307_23596571,0,0,0.012219711,0,0,0.9452724,0,0,0.04242909,0,1983,Nicaragua: establishing the state as the centre of accumulation,7,2,Irvin&
journal-article-10.2307_23596572,0,0.67106164,0,0,0,0,0.32876062,0,0,0,1983,"Non-produced means of production in Sraffa's system: basics, non-basics and quasi-basics",7,2,Gibson&McLeod&
journal-article-10.2307_23596573,0.8710523,0,0.09075932,0,0,0,0,0.03811001,0,0,1983,Women and the UK tax system: the case for reform?,7,2,Knight&
journal-article-10.2307_23596574,0,0,0,0,0,0,0.9691874,0,0, 0.030638594,1983,Professor Garegnani's defence of Sraffa on the material rate of profit,7,2,Hollander&
journal-article-10.2307_23596575,0,0,0,0,0,0,0.9996267,0,0,0,1983,Ricardo's early theory of profits and its 'rational foundation': a reply to Professor Hollander,7,2,Garegnani&
journal-article-10.2307_23596576,0.84267545,0,0,0,0,0.09699887,0,0,0.06026072,0,1983,Reagan social policy and labour force restructuring,7,2,Rosenberg&
journal-article-10.2307_23596577,0,0,0,0,0.33403102,0.6224541,0,0,0.04343438,0,1983,Trends in European industrial intervention,7,2,Hesselman&
journal-article-10.2307_23596580,0,0,0.6242228,0,0,0,0,0.3734593,0,0,1983,Foreword,7,03-apr,Harcourt&
journal-article-10.2307_23596581,0,0,0.39094213,0,0,0,0,0.6075131,0,0,1983,Joan Robinson: a word of appreciation,7,03-apr,Galbraith&
journal-article-10.2307_23596582,0.03884042,0,0.14175154,0,0,0.20020077,0.06329995,0.5557519,0,0,1983,Joan Robinson: in the radical vein A laywoman's homage,7,03-apr,Narasimhan&
journal-article-10.2307_23596583,0,0,0.27812478,0,0,0,0,0,0.72177476,0,1983,"Kalečki and Keynes on finance, investment and saving",7,03-apr,Asimakopulos&
journal-article-10.2307_23596584,0,0.03801845,0.60748476,0,0,0,0.115583174,0,0.074566945, 0.16421378,1983,Multimarket classification of unemployment: a sceptical note,7,03-apr,Bhaduri&
journal-article-10.2307_23596585,0,0,0.18507414,0.12833987,0,0.3861437,0.13613833,0.1642335,0,0,1983,Socialism and development,7,03-apr,Brus&Kowalik&
journal-article-10.2307_23596586,0,0,0,0,0,0.33031833,0,0,0, 0.6695183,1983,Trade and capital accumulation in a process of import substitution,7,03-apr,Casar&Ros&
journal-article-10.2307_23596587,0,0,0.50438833,0,0,0,0.43060026,0,0.0649453,0,1983,The long-period theory of employment,7,03-apr,Eatwell&
journal-article-10.2307_23596588,0.022131748,0,0,0.01618842,0,0.88534904,0,0,0.07627605,0,1983,Chile: a laboratory for failed experiments in capitalist political economy,7,03-apr,García H.&Wells&
journal-article-10.2307_23596589,0,0,0.38896185,0,0,0,0.3024556,0,0, 0.30824032,1983,"A note on wages, profits and fluctuating growth rates",7,03-apr,Goodwin&
journal-article-10.2307_23596590,0,0.10791398,0.45345193,0,0,0,0.43856776,0,0,0,1983,Accumulation of capital and the rate of profit in Marxian theory,7,03-apr,Harris&
journal-article-10.2307_23596591,0,0,0,0,0,0,0.52724403,0.47265026,0,0,1983,Joan Robinson and the labour theory of value,7,03-apr,Hunt&
journal-article-10.2307_23596592,0,0,0.77838385,0,0,0,0.19602884,0,0.025527438,0,1983,The microfoundations of the 'generalisation of The General Theory' and 'bastard Keynesianism': Keynes's theory of employment in the long and the short period,7,03-apr,Kregel&
